edge_id,source_id,target_id,edge_type,edge_key,role,scope,stage,months,value,observed,n,source_col,detail
E_199c5bad9d285fe4,CASE_4200-73111-00001-22,PERSON_4200-73111-00001-22_O,HAS_PARTICIPANT,HAS_PARTICIPANT,offender,case,,,,,,,
E_572fe047b4bf2158,CASE_4200-73111-00001-22,PERSON_4200-73111-00001-22_V,HAS_PARTICIPANT,HAS_PARTICIPANT,victim,case,,,,,,,
E_b9ba72f45fcebd84,PERSON_4200-73111-00001-22_V,PERSON_4200-73111-00001-22_O,SEPARATED_FROM,SEPARATED_FROM,,case,prior,0,1,1,,,
E_5a4753978313bdca,PERSON_4200-73111-00001-22_V,PERSON_4200-73111-00001-22_O,HAS_NEW_PARTNER,HAS_NEW_PARTNER,,case,prior,,0,1,,,
E_37e494f4bca89b41,PERSON_4200-73111-00001-22_O,PERSON_4200-73111-00001-22_V,CHILD_CUSTODY_DISPUTE,CHILD_CUSTODY_DISPUTE,,case,prior,,0,1,,,
E_0af72bb459af96e8,PERSON_4200-73111-00001-22_O,PERSON_4200-73111-00001-22_V,SHARED_CHILDREN,SHARED_CHILDREN,,case,prior,,0,1,0,,
E_ccd584610c589ccf,PERSON_4200-73111-00001-22_O,PERSON_4200-73111-00001-22_V,PRIOR_FAMILY_COURT_INVOLVEMENT,PRIOR_FAMILY_COURT_INVOLVEMENT,,case,prior,,0,1,,,
E_914afa4d6019432f,CASE_4200-73111-00001-22,PERSON_4200-73111-00001-22_CHILD_1,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,,
E_b8f33907c2723fae,PERSON_4200-73111-00001-22_V,PERSON_4200-73111-00001-22_CHILD_1,PARENT_OF,PARENT_OF,,case,,,,,,,
E_ac95a588669ba63e,CASE_4200-73111-00001-22,PERSON_4200-73111-00001-22_CHILD_2,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,,
E_f654ca6d33fecb8c,PERSON_4200-73111-00001-22_V,PERSON_4200-73111-00001-22_CHILD_2,PARENT_OF,PARENT_OF,,case,,,,,,,
E_b1c9f589241e5d23,PERSON_4200-73111-00001-22_CHILD_1,CASE_4200-73111-00001-22,WITNESSED_CRIME,WITNESSED_CRIME,,case,during,,1,1,,,
E_07ea8dc87b180647,PERSON_4200-73111-00001-22_CHILD_2,CASE_4200-73111-00001-22,WITNESSED_CRIME,WITNESSED_CRIME,,case,during,,1,1,,,
E_57381e8ba32a8859,PERSON_4200-73111-00001-22_O,PERSON_4200-73111-00001-22_V,PRIOR_VIOLENCE,PRIOR_VIOLENCE,,case,prior,,1,1,,prior_violence,Convicted several crimes
E_6d8a843049a89201,PERSON_4200-73111-00001-22_O,PERSON_4200-73111-00001-22_V,COERCIVE_CONTROL,COERCIVE_CONTROL,,case,prior,,1,1,,control,
E_9b951c472473ffb0,PERSON_4200-73111-00001-22_O,PERSON_4200-73111-00001-22_V,ATTEMPTED_ISOLATION,ATTEMPTED_ISOLATION,,case,prior,,1,1,,prior_attempts_isolate_victim,
E_12a7b43f3f3a0547,PERSON_4200-73111-00001-22_O,PERSON_4200-73111-00001-22_V,PRIOR_STRANGULATION,PRIOR_STRANGULATION,,case,prior,,,0,,prior_strangulation,
E_0e378c4be444f84c,PERSON_4200-73111-00001-22_O,PERSON_4200-73111-00001-22_V,THREATENED_WITH_WEAPON,THREATENED_WITH_WEAPON,,case,prior,,0,1,,prior_threats_with_weapon,
