edge_id,source_id,target_id,edge_type,edge_key,role,scope,stage,value,observed,n,source_col,detail
E_e20881fe2373bbfa,CASE_0100-73241-00495-20,PERSON_0100-73241-00495-20_O,HAS_PARTICIPANT,HAS_PARTICIPANT,offender,case,,,,,,
E_c057b1a30128817e,CASE_0100-73241-00495-20,PERSON_0100-73241-00495-20_V,HAS_PARTICIPANT,HAS_PARTICIPANT,victim,case,,,,,,
E_19685e4935c69aec,PERSON_0100-73241-00495-20_V,PERSON_0100-73241-00495-20_O,SEPARATED_FROM,SEPARATED_FROM,,case,prior,0,1,,,
E_86f17d4c0df8d60c,PERSON_0100-73241-00495-20_V,PERSON_0100-73241-00495-20_O,HAS_NEW_PARTNER,HAS_NEW_PARTNER,,case,prior,0,1,,,
E_2d37f8d121a908ae,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,CHILD_CUSTODY_DISPUTE,CHILD_CUSTODY_DISPUTE,,case,prior,1,1,,,
E_71c9972cb80bc120,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,SHARED_CHILDREN,SHARED_CHILDREN,,case,prior,1,1,3,,
E_a68bef31dcbcda38,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,PRIOR_FAMILY_COURT_INVOLVEMENT,PRIOR_FAMILY_COURT_INVOLVEMENT,,case,prior,1,1,,,
E_77e779b9ac182a9b,CASE_0100-73241-00495-20,PERSON_0100-73241-00495-20_CHILD_1,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,
E_43be8d80b5ec798b,PERSON_0100-73241-00495-20_V,PERSON_0100-73241-00495-20_CHILD_1,PARENT_OF,PARENT_OF,,case,,,,,,
E_e9001edc357b0fd9,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_CHILD_1,PARENT_OF,PARENT_OF,,case,,,,,,
E_28744373296f6b78,CASE_0100-73241-00495-20,PERSON_0100-73241-00495-20_CHILD_2,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,
E_8fb38bc991ae372d,PERSON_0100-73241-00495-20_V,PERSON_0100-73241-00495-20_CHILD_2,PARENT_OF,PARENT_OF,,case,,,,,,
E_1c82337243423c46,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_CHILD_2,PARENT_OF,PARENT_OF,,case,,,,,,
E_ab0702bb3dbc3345,CASE_0100-73241-00495-20,PERSON_0100-73241-00495-20_CHILD_3,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,
E_ccf9794bad80ee79,PERSON_0100-73241-00495-20_V,PERSON_0100-73241-00495-20_CHILD_3,PARENT_OF,PARENT_OF,,case,,,,,,
E_a448e25412d7a1ac,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_CHILD_3,PARENT_OF,PARENT_OF,,case,,,,,,
E_c8f8d8dcbf6233d8,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,PRIOR_VIOLENCE,PRIOR_VIOLENCE,,case,prior,1,1,,prior_violence,"Sexual, physical"
E_9bf752ae80c3aba8,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,COERCIVE_CONTROL,COERCIVE_CONTROL,,case,prior,1,1,,control,
E_fa0206d367de43f5,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,ATTEMPTED_ISOLATION,ATTEMPTED_ISOLATION,,case,prior,1,1,,prior_attempts_isolate_victim,
E_78936de7396ded6a,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,PRIOR_STRANGULATION,PRIOR_STRANGULATION,,case,prior,1,1,,prior_strangulation,
E_bf9a2873f692d570,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,THREATENED_WITH_WEAPON,THREATENED_WITH_WEAPON,,case,prior,1,1,,prior_threats_with_weapon,
E_bd3bb9a2edada48b,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,ASSAULTED_WITH_WEAPON,ASSAULTED_WITH_WEAPON,,case,prior,1,1,,prior_assault_with_weapon,
E_0e1f3ff44f2b9378,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,ESCALATED_VIOLENCE,ESCALATED_VIOLENCE,,case,prior,1,1,,escalation_of_violence,
E_c988ef6eaaa83659,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,STALKED,STALKED,,case,prior,1,1,,obsessive_behaviour,
E_cead90160448abc0,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,SEXUAL_JEALOUSY,SEXUAL_JEALOUSY,,case,prior,1,1,,sexual_jealousy,
E_4fcd4cb7fd38b211,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,MISOGYNISTIC_ATTITUDES,MISOGYNISTIC_ATTITUDES,,case,prior,1,1,,misogynistic_attitudes,
E_84c2da7fdb763074,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,CONTROLLED_DAILY_ACTIVITIES,CONTROLLED_DAILY_ACTIVITIES,,case,prior,1,1,,controlled_victims_daily_activities,
E_d03b572efe0bbdac,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,THREATENED_SUICIDE,THREATENED_SUICIDE,,case,prior,,0,,threats_of_suicide,
E_7447cd292289e574,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_V,YOUTH_COUPLE,YOUTH_COUPLE,,case,prior,1,1,,youth_couple,
E_df11cee288a91337,PERSON_0100-73241-00495-20_V,PERSON_0100-73241-00495-20_O,YOUTH_COUPLE,YOUTH_COUPLE,,case,prior,1,1,,youth_couple,
E_1f7adc571295afab,PERSON_0100-73241-00495-20_O,PERSON_0100-73241-00495-20_CHILD_1,THREATENED_HARMED_CHILD,THREATENED_HARMED_CHILD,,case,prior,1,1,,offender_threatened_harmed_children,
