edge_id,source_id,target_id,edge_type,edge_key,role,scope,stage,months,value,observed,n,source_col,detail
E_294c397cbf3324b9,CASE_3300-73111-00001-20,PERSON_3300-73111-00001-20_O,HAS_PARTICIPANT,HAS_PARTICIPANT,offender,case,,,,,,,
E_f5d4773e603b6ac9,CASE_3300-73111-00001-20,PERSON_3300-73111-00001-20_V,HAS_PARTICIPANT,HAS_PARTICIPANT,victim,case,,,,,,,
E_b29319f3ff813618,PERSON_3300-73111-00001-20_V,PERSON_3300-73111-00001-20_O,SEPARATED_FROM,SEPARATED_FROM,,case,prior,48 (on-off relationship),1,1,,,
E_9497396af32c2bda,PERSON_3300-73111-00001-20_V,PERSON_3300-73111-00001-20_O,HAS_NEW_PARTNER,HAS_NEW_PARTNER,,case,prior,,0,1,,,
E_dee5d79f08e15ae5,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,CHILD_CUSTODY_DISPUTE,CHILD_CUSTODY_DISPUTE,,case,prior,,,0,,,
E_805c05824ca4b23c,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,SHARED_CHILDREN,SHARED_CHILDREN,,case,prior,,1,1,4,,
E_cb8b1c23db8f6f2e,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,PRIOR_FAMILY_COURT_INVOLVEMENT,PRIOR_FAMILY_COURT_INVOLVEMENT,,case,prior,,1,1,,,
E_f18cfa08a373fc48,CASE_3300-73111-00001-20,PERSON_3300-73111-00001-20_CHILD_1,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,,
E_2c69eb3fb592b3b5,PERSON_3300-73111-00001-20_V,PERSON_3300-73111-00001-20_CHILD_1,PARENT_OF,PARENT_OF,,case,,,,,,,
E_a49781af67e7d209,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_CHILD_1,PARENT_OF,PARENT_OF,,case,,,,,,,
E_28fd86d476c8461a,CASE_3300-73111-00001-20,PERSON_3300-73111-00001-20_CHILD_2,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,,
E_8fb167195684aff3,PERSON_3300-73111-00001-20_V,PERSON_3300-73111-00001-20_CHILD_2,PARENT_OF,PARENT_OF,,case,,,,,,,
E_cda6a4b5102e9e7b,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_CHILD_2,PARENT_OF,PARENT_OF,,case,,,,,,,
E_43a04ed021c9876d,CASE_3300-73111-00001-20,PERSON_3300-73111-00001-20_CHILD_3,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,,
E_0ac31e82cc0823b8,PERSON_3300-73111-00001-20_V,PERSON_3300-73111-00001-20_CHILD_3,PARENT_OF,PARENT_OF,,case,,,,,,,
